"Дата","Заражений всего","Умерло всего","Летальность","Выздоровело всего","Болеющих"
"21/03/21","1011463","16128","0.08%","931296","64039"
"20/03/21","1009952","16078","0.08%","929925","63949"
"19/03/21","1008224","16024","0.08%","928156","64044"
"18/03/21","1006415","15973","0.07%","926254","64188"
"17/03/21","1004481","15925","0.08%","924494","64062"
"16/03/21","1003280","15872","0.09%","922899","64509"
"15/03/21","1001747","15815","0.08%","921424","64508"
"14/03/21","1000394","15764","0.09%","920388","64242"
"13/03/21","998489","15709","0.08%","919278","63502"
"12/03/21","996889","15657","0.09%","917809","63423"
"11/03/21","995279","15601","0.09%","916204","63474"
"10/03/21","993998","15547","0.08%","914626","63825"
"09/03/21","992882","15496","0.08%","913173","64213"
"08/03/21","991816","15447","0.08%","912146","64223"
"07/03/21","990395","15394","0.07%","911109","63892"
"06/03/21","988861","15347","0.08%","909692","63822"
"05/03/21","987041","15297","0.08%","907770","63974"
"04/03/21","985284","15243","0.08%","905521","64520"
"03/03/21","983134","15192","0.07%","903100","64842"
"02/03/21","981850","15146","0.07%","901035","65669"
"01/03/21","980573","15097","0.06%","899239","66237"
"28/02/21","978476","15055","0.07%","897698","65723"
"27/02/21","976739","15007","0.06%","895879","65853"
"21/02/21","974914","14966","0.07%","893871","66077"
"25/02/21","973578","14921","0.07%","891448","67209"
"24/02/21","972172","14874","0.06%","889356","67942"
"23/02/21","970755","14831","0.07%","887637","68287"
"22/02/21","969557","14782","0.06%","886273","68502"
"21/02/21","967834","14741","0.08%","884615","68478"
"20/02/21","966232","14689","0.08%","882808","68735"
"19/02/21","964609","14631","0.08%","880767","69211"
"18/02/21","962637","14578","0.08%","878655","69404"
"17/02/21","960687","14523","0.08%","876141","70023"
"16/02/21","959405","14464","0.08%","873898","71043"
"15/02/21","957996","14404","0.08%","871836","71756"
"14/02/21","956178","14348","0.08%","869869","71961"
"13/02/21","954619","14290","0.09%","867780","72549"
"12/02/21","952656","14223","0.09%","865100","73333"
"11/02/21","950517","14160","0.08%","861916","74441"
"10/02/21","948477","14099","0.09%","858358","76020"
"09/02/21","947036","14031","0.09%","854725","78280"
"08/02/21","945452","13958","0.08%","851171","80323"
"07/02/21","943724","13896","0.08%","847822","82006"
"06/02/21","941696","13832","0.07%","844165","83699"
"05/02/21","939482","13772","0.08%","839832","85878"
"04/02/21","937450","13701","0.08%","835168","88581"
"03/02/21","935355","13634","0.07%","829844","91877"
"02/02/21","933810","13569","0.08%","824623","95618"
"01/02/21","932109","13495","0.06%","819611","99003"
"31/01/21","930072","13434","0.06%","814728","101910"
"30/01/21","927788","13368","0.06%","809226","105194"
"29/01/21","925358","13300","0.06%","803642","108416"
"28/01/21","922559","13237","0.06%","797462","111860"
"27/01/21","919662","13175","0.07%","791320","115167"
"21/01/21","917825","13100","0.06%","785396","119329"
"25/01/21","915508","13030","0.05%","779824","122654"
"24/01/21","913126","12969","0.06%","774550","125607"
"23/01/21","910057","12895","0.05%","769433","127729"
"22/01/21","907389","12831","0.05%","763500","131058"
"21/01/21","904352","12759","0.05%","757871","133722"
"20/01/21","900894","12690","0.05%","752651","135553"
"19/01/21","898442","12625","0.06%","747881","137936"
"18/01/21","895327","12541","0.05%","743349","139437"
"17/01/21","891648","12468","0.05%","739340","139840"
"16/01/21","887636","12401","0.06%","734728","140507"
"15/01/21","882962","12322","0.06%","729089","141551"
"14/01/21","877428","12241","0.05%","722487","142700"
"13/01/21","871535","12173","0.05%","715438","143924"
"12/01/21","867215","12097","0.05%","708568","146550"
"11/01/21","862214","12025","0.05%","701790","148399"
"10/01/21","857568","11950","0.05%","695106","150512"
"09/01/21","853352","11873","0.05%","688061","153418"
"08/01/21","848452","11799","0.05%","680759","155894"
"07/01/21","843425","11728","0.05%","673692","158005"
"06/01/21","838554","11652","0.04%","666282","160620"
"05/01/21","833412","11582","0.05%","659076","162754"
"04/01/21","828570","11507","0.04%","652324","164739"
"03/01/21","824979","11433","0.05%","645923","167623"
"02/01/21","821128","11356","0.04%","639809","169963"
"01/01/21","815676","11280","0.04%","633702","170694"
"31/12/20","809769","11209","0.04%","627368","171192"
"30/12/20","803203","11136","0.04%","621292","170775"
"29/12/20","798098","11064","0.04%","615396","171638"
"28/12/20","792457","10989","0.04%","609770","171698"
"27/12/20","786204","10913","0.04%","604604","170687"
"20/12/20","779584","10840","0.05%","599541","169203"
"25/12/20","772104","10763","0.04%","593939","167402"
"24/12/20","764789","10689","0.05%","588280","165820"
"23/12/20","756586","10613","0.04%","582772","163201"
"22/12/20","750934","10540","0.04%","577544","162850"
"21/12/20","743697","10469","0.05%","572541","160687"
"20/12/20","735900","10394","0.05%","567743","157763"
"19/12/20","728637","10317","0.05%","562953","155367"
"18/12/20","722178","10243","0.05%","557028","154907"
"17/12/20","715241","10171","0.05%","551207","153863"
"16/12/20","708530","10095","0.05%","545430","153005"
"15/12/20","703502","10022","0.05%","539859","153621"
"14/12/20","698084","9945","0.05%","534552","153587"
"13/12/20","692210","9870","0.05%","529620","152720"
"12/12/20","685785","9798","0.05%","524779","151208"
"11/12/20","679163","9722","0.05%","518889","150552"
"10/12/20","671948","9645","0.05%","512969","149334"
"09/12/20","665218","9571","0.05%","507149","148498"
"08/12/20","660073","9496","0.05%","501403","149174"
"07/12/20","654841","9425","0.05%","495871","149545"
"06/12/20","647562","9349","0.05%","490844","147369"
"05/12/20","640050","9277","0.05%","485308","145465"
"04/12/20","632057","9203","0.05%","478724","144130"
"03/12/20","625189","9126","0.05%","471833","144230"
"02/12/20","617439","9053","0.05%","464984","143402"
"01/12/20","612248","8978","0.05%","458409","144861"
"30/11/20","605724","8902","0.05%","452184","144638"
"29/11/20","599213","8828","0.05%","447111","143274"
"28/11/20","592415","8756","0.05%","441535","142124"
"27/11/20","585095","8680","0.05%","434902","141513"
"20/11/20","577177","8603","0.05%","428418","140156"
"25/11/20","571102","8530","0.05%","422189","140383"
"24/11/20","566417","8455","0.05%","416242","141720"
"23/11/20","560579","8379","0.05%","410641","141559"
"22/11/20","553713","8308","0.05%","405577","139828"
"21/11/20","547138","8233","0.05%","400332","138573"
"20/11/20","539970","8159","0.06%","394252","137559"
"19/11/20","533068","8082","0.05%","388416","136570"
"18/11/20","526630","8009","0.06%","382634","135987"
"17/11/20","522456","7933","0.05%","377131","137392"
"16/11/20","516574","7859","0.05%","371857","136858"
"15/11/20","510214","7787","0.06%","367613","134814"
"14/11/20","503943","7712","0.05%","363347","132884"
"13/11/20","497516","7643","0.05%","358924","130949"
"12/11/20","491542","7573","0.05%","354705","129264"
"11/11/20","485545","7502","0.06%","350746","127297"
"10/11/20","481068","7429","0.05%","346889","126750"
"09/11/20","475166","7361","0.06%","343226","124579"
"08/11/20","468269","7289","0.06%","339913","121067"
"07/11/20","462518","7215","0.06%","336659","118644"
"06/11/20","456689","7140","0.06%","332984","116565"
"05/11/20","450436","7071","0.06%","329201","114164"
"04/11/20","445181","7004","0.06%","325531","112646"
"03/11/20","439355","6936","0.06%","321679","110740"
"02/11/20","434205","6873","0.05%","318032","109300"
"01/11/20","429409","6820","0.05%","314791","107798"
"31/10/20","424148","6768","0.05%","311450","105930"
"30/10/20","419196","6713","0.07%","307816","104667"
"29/10/20","413928","6644","0.06%","303831","103453"
"28/10/20","409022","6578","0.07%","300051","102393"
"27/10/20","405352","6503","0.06%","296474","102375"
"20/10/20","401040","6442","0.06%","293205","101393"
"25/10/20","395816","6380","0.07%","290524","98912"
"24/10/20","391361","6312","0.06%","287910","97139"
"23/10/20","386908","6249","0.06%","285271","95388"
"22/10/20","381430","6187","0.07%","282492","92751"
"21/10/20","377017","6121","0.07%","279973","90923"
"20/10/20","372628","6058","0.06%","277608","88962"
"19/10/20","367629","6009","0.06%","275648","85972"
"18/10/20","362253","5958","0.06%","273881","82414"
"17/10/20","357643","5906","0.07%","272227","79510"
"16/10/20","352995","5850","0.07%","270226","76919"
"15/10/20","347946","5796","0.08%","268423","73727"
"14/10/20","344004","5739","0.07%","266470","71795"
"13/10/20","339431","5687","0.08%","264500","69244"
"12/10/20","334813","5629","0.05%","262750","66434"
"11/10/20","330418","5595","0.06%","261619","63204"
"10/10/20","325917","5560","0.05%","260433","59924"
"09/10/20","321812","5530","0.06%","259127","57155"
"08/10/20","318111","5497","0.1%","257703","54911"
"07/10/20","314788","5442","0.08%","256362","52984"
"06/10/20","311559","5401","0.06%","255100","51058"
"05/10/20","307477","5370","0.06%","253944","48163"
"04/10/20","303940","5343","0.06%","253031","45566"
"03/10/20","300613","5314","0.07%","252087","43212"
"02/10/20","297729","5282","0.07%","251018","41429"
"01/10/20","295025","5254","0.06%","249861","39910"
"30/09/20","292601","5230","0.07%","248650","38721"
"29/09/20","290293","5203","0.06%","247301","37789"
"28/09/20","287993","5180","0.04%","246074","36739"
"27/09/20","285776","5164","0.05%","245132","35480"
"20/09/20","283760","5146","0.05%","244006","34608"
"25/09/20","281968","5129","0.04%","242883","33956"
"24/09/20","280408","5115","0.04%","241656","33637"
"23/09/20","279358","5100","0.05%","240352","33906"
"22/09/20","278388","5084","0.04%","239126","34178"
"21/09/20","277408","5069","0.03%","237935","34404"
"20/09/20","276493","5057","0.04%","236947","34489"
"19/09/20","275633","5044","0.03%","236055","34534"
"18/09/20","274808","5033","0.02%","235136","34639"
"17/09/20","274003","5025","0.03%","234029","34949"
"16/09/20","273273","5016","0.03%","232706","35551"
"15/09/20","272523","5006","0.04%","231483","36034"
"14/09/20","271793","4993","0.03%","230397","36403"
"13/09/20","271097","4982","0.04%","229573","36542"
"12/09/20","270447","4968","0.03%","228673","36806"
"11/09/20","269777","4956","0.02%","227530","37291"
"10/09/20","269079","4947","0.04%","226274","37858"
"09/09/20","268384","4933","0.03%","224840","38611"
"08/09/20","267742","4921","0.04%","223502","39319"
"07/09/20","267047","4905","0.04%","222252","39890"
"06/09/20","266357","4891","0.03%","221370","40096"
"05/09/20","265737","4878","0.03%","220407","40452"
"04/09/20","265066","4867","0.02%","219095","41104"
"03/09/20","264374","4857","0.03%","217899","41618"
"02/09/20","263684","4844","0.03%","216742","42098"
"01/09/20","263059","4832","0.03%","215383","42844"
"31/08/20","262418","4821","0.03%","214121","43476"
"30/08/20","261733","4809","0.03%","213205","43719"
"29/08/20","261038","4798","0.03%","212301","43939"
"28/08/20","260361","4786","0.02%","210908","44667"
"27/08/20","259707","4776","0.03%","209628","45303"
"20/08/20","259070","4764","0.02%","208193","46113"
"25/08/20","258430","4753","0.03%","206804","46873"
"24/08/20","257749","4741","0.02%","205649","47359"
"23/08/20","257124","4731","0.02%","204786","47607"
"22/08/20","256513","4720","0.02%","203821","47972"
"21/08/20","255826","4710","0.02%","202727","48389"
"20/08/20","255136","4698","0.02%","201567","48871"
"19/08/20","254448","4687","0.02%","200359","49402"
"18/08/20","253757","4677","0.02%","199117","49963"
"17/08/20","253064","4666","0.02%","197962","50436"
"16/08/20","252374","4656","0.02%","197143","50575"
"15/08/20","251686","4645","0.02%","196098","50943"
"14/08/20","250991","4633","0.02%","194823","51535"
"13/08/20","250303","4622","0.02%","193473","52208"
"12/08/20","249611","4611","0.02%","192686","52314"
"11/08/20","248922","4599","0.03%","191598","52725"
"10/08/20","248228","4585","0.02%","190555","53088"
"09/08/20","247534","4572","0.02%","189657","53305"
"08/08/20","246845","4560","0.03%","188854","53431"
"07/08/20","246154","4546","0.02%","187576","54032"
"06/08/20","245468","4534","0.02%","186223","54711"
"05/08/20","244784","4521","0.02%","184969","55294"
"04/08/20","244097","4510","0.02%","183640","55947"
"03/08/20","243406","4498","0.02%","182184","56724"
"02/08/20","242713","4485","0.02%","181342","56886"
"01/08/20","242049","4473","0.02%","180581","56995"
"31/07/20","241359","4460","0.02%","179168","57731"
"30/07/20","240664","4446","0.02%","177908","58310"
"29/07/20","239986","4434","0.02%","176437","59115"
"28/07/20","239315","4421","0.02%","175812","59082"
"27/07/20","238641","4411","0.02%","174985","59245"
"20/07/20","237947","4398","0.02%","174721","58828"
"25/07/20","237264","4389","0.02%","174415","58460"
"24/07/20","236616","4375","0.02%","173854","58387"
"23/07/20","235971","4364","0.02%","173392","58215"
"22/07/20","235363","4350","0.03%","172939","58074"
"21/07/20","234725","4331","0.03%","171771","58623"
"20/07/20","234123","4314","0.03%","170918","58891"
"19/07/20","233545","4299","0.02%","170539","58707"
"18/07/20","232954","4285","0.02%","170180","58489"
"17/07/20","232376","4271","0.02%","169637","58468"
"16/07/20","231801","4258","0.04%","168955","58588"
"15/07/20","231270","4234","0.05%","167810","59226"
"14/07/20","230642","4205","0.06%","165966","60471"
"13/07/20","230029","4168","0.04%","164954","60907"
"12/07/20","229357","4143","0.04%","164560","60654"
"11/07/20","228678","4116","0.05%","164095","60467"
"10/07/20","228000","4087","0.05%","163093","60820"
"09/07/20","227363","4059","0.05%","162086","61218"
"08/07/20","226795","4027","0.05%","160913","61855"
"07/07/20","226174","3999","0.04%","159718","62457"
"06/07/20","225545","3975","0.03%","157652","63918"
"05/07/20","224860","3953","0.04%","157020","63887"
"04/07/20","224210","3929","0.04%","156459","63822"
"03/07/20","223530","3904","0.05%","154839","64787"
"02/07/20","222871","3870","0.06%","153248","65753"
"01/07/20","222209","3831","0.05%","152193","66185"
"30/06/20","221598","3796","0.05%","150397","67405"
"29/06/20","220853","3761","0.03%","148102","68990"
"28/06/20","220071","3738","0.03%","147095","69238"
"27/06/20","219354","3714","0.03%","146043","69597"
"20/06/20","218604","3694","0.04%","144191","70719"
"25/06/20","217791","3669","0.02%","142194","71928"
"24/06/20","216906","3657","0.02%","141268","71981"
"23/06/20","216095","3643","0.04%","139248","73204"
"22/06/20","215014","3617","0.03%","136670","74727"
"21/06/20","213946","3597","0.04%","135556","74793"
"20/06/20","212978","3565","0.05%","134549","74864"
"19/06/20","211921","3531","0.06%","132434","75956"
"18/06/20","210785","3483","0.06%","130431","76871"
"17/06/20","209745","3434","0.06%","128385","77926"
"16/06/20","208680","3386","0.07%","126114","79180"
"15/06/20","207264","3334","0.07%","123240","80690"
"14/06/20","205905","3281","0.06%","121691","80933"
"13/06/20","204428","3231","0.05%","119558","81639"
"12/06/20","202935","3187","0.06%","118024","81724"
"11/06/20","201221","3138","0.06%","115769","82314"
"10/06/20","199785","3085","0.07%","113533","83167"
"09/06/20","198590","3029","0.07%","109737","85824"
"08/06/20","197018","2970","0.06%","104347","89701"
"07/06/20","195017","2919","0.06%","102714","89384"
"06/06/20","193061","2864","0.06%","100431","89766"
"05/06/20","191069","2806","0.06%","97358","90905"
"04/06/20","189214","2749","0.07%","94715","91750"
"03/06/20","187216","2685","0.07%","91654","92877"
"02/06/20","185374","2624","0.08%","88269","94481"
"01/06/20","183088","2553","0.08%","82239","98296"
"31/05/20","180791","2477","0.07%","80179","98135"
"30/05/20","178196","2408","0.08%","78324","97464"
"29/05/20","175829","2330","0.08%","74725","98774"
"28/05/20","173497","2254","0.07%","71251","99992"
"27/05/20","171443","2183","0.07%","67458","101802"
"20/05/20","169303","2110","0.07%","61619","105574"
"25/05/20","166473","2034","0.04%","53586","110853"
"24/05/20","163913","1993","0.05%","49840","112080"
"23/05/20","161397","1934","0.06%","47413","112050"
"22/05/20","158207","1867","0.06%","43582","112758"
"21/05/20","155219","1794","0.06%","40682","112743"
"20/05/20","152306","1726","0.07%","36936","113644"
"19/05/20","149607","1651","0.06%","31496","116460"
"18/05/20","146062","1580","0.07%","28913","115569"
"17/05/20","142824","1503","0.06%","27490","113831"
"16/05/20","138969","1432","0.07%","26032","111505"
"15/05/20","135464","1358","0.06%","24562","109544"
"14/05/20","130716","1290","0.05%","23327","106099"
"13/05/20","126004","1232","0.05%","21506","103266"
"12/05/20","121301","1179","0.05%","19642","100480"
"11/05/20","115909","1124","0.06%","17822","96963"
"10/05/20","109740","1068","0.06%","13790","94882"
"09/05/20","104189","1010","0.06%","12779","90400"
"08/05/20","98522","956","0.06%","10259","87307"
"07/05/20","92676","905","0.05%","9227","82544"
"06/05/20","85973","866","0.07%","8458","76649"
"05/05/20","80115","816","0.07%","7870","71429"
"04/05/20","74401","764","0.05%","7573","66064"
"03/05/20","68606","729","0.06%","7029","60848"
"02/05/20","62658","695","0.07%","6374","55589"
"01/05/20","57300","658","0.09%","5766","50876"
"30/04/20","53739","611","0.14%","5135","47993"
"29/04/20","50646","546","0.15%","4610","45490"
"28/04/20","48426","479","0.1%","4130","43817"
"27/04/20","45351","435","0.07%","3524","41392"
"20/04/20","42480","404","0.1%","3175","38901"
"25/04/20","39509","366","0.11%","3047","36096"
"24/04/20","36897","325","0.11%","2735","33837"
"23/04/20","33940","288","0.09%","2448","31204"
"22/04/20","31981","261","0.1%","2267","29453"
"21/04/20","29433","233","0.11%","2057","27143"
"20/04/20","26350","204","0.12%","1838","24308"
"19/04/20","24324","176","0.13%","1763","22385"
"18/04/20","20754","148","0.11%","1679","18927"
"17/04/20","18105","127","0.09%","1517","16461"
"16/04/20","16146","113","0.05%","1394","14639"
"15/04/20","14776","106","0.08%","1205","13465"
"14/04/20","13002","95","0.11%","1016","11891"
"13/04/20","11513","82","0.09%","837","10594"
"12/04/20","10158","72","0.15%","687","9399"
"11/04/20","8852","58","0.1%","499","8295"
"10/04/20","7822","50","0.16%","350","7422"
"09/04/20","6698","38","—","313","6347"
"08/04/20","5841","38","0.13%","270","5533"
"07/04/20","5181","31","0.04%","222","4928"
"06/04/20","4484","29","—","206","4249"
"05/04/20","3893","29","0.05%","198","3666"
"04/04/20","3357","27","0.22%","194","3136"
"03/04/20","2923","20","0.04%","168","2735"
"02/04/20","2475","19","0.13%","140","2316"
"01/04/20","1880","16","0.29%","115","1749"
"31/03/20","1613","11","—","70","1532"
"30/03/20","1226","11","0.42%","28","1187"
"29/03/20","1014","6","0.1%","28","980"
"28/03/20","817","5","0.13%","28","784"
"27/03/20","703","4","0.29%","18","681"
"20/03/20","546","2","—","15","529"
"25/03/20","410","2","0.51%","15","393"
"24/03/20","290","—","—","9","281"
"23/03/20","262","—","—","9","253"
"22/03/20","191","—","—","8","183"
"21/03/20","137","—","—","8","129"
"20/03/20","131","—","—","1","130"
"19/03/20","98","—","—","1","97"
"18/03/20","86","—","—","1","85"
"17/03/20","55","—","—","1","54"
"16/03/20","54","—","—","1","53"
